"TABLE_NAME";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH"
"PER_PALETAS";"APAL_NUMENT";"NUMBER";"22"
"PER_PALETAS";"APAL_NUMCDP";"NUMBER";"22"
"PER_PALETAS";"APAL_SECCIO";"VARCHAR2";"2"
"PER_PALETAS";"APAL_ZONATR";"VARCHAR2";"2"
"PER_PALETAS";"APAL_SECPRO";"VARCHAR2";"2"
"PER_PALETAS";"APAL_AREPRO";"VARCHAR2";"2"
"PER_PALETAS";"APAL_FECUTI";"DATE";"7"
"PER_PALETAS";"APAL_PESNET";"NUMBER";"22"
"PER_PALETAS";"APAL_ARTEMB";"VARCHAR2";"7"
"PER_PALETAS";"APAL_VAR1EB";"VARCHAR2";"3"
"PER_PALETAS";"APAL_VAR2EB";"VARCHAR2";"2"
"PER_PALETAS";"APAL_VLOGEB";"NUMBER";"22"
"PER_PALETAS";"APAL_MATRIC";"VARCHAR2";"10"
"PER_PALETAS";"APAL_PROCAJ";"NUMBER";"22"
"PER_PALETAS";"APAL_PROPAL";"NUMBER";"22"
"PER_PALETAS";"APAL_PROENV";"NUMBER";"22"
"PER_PALETAS";"APAL_TERMIN";"NUMBER";"22"
"PER_PALETAS";"APAL_FECUBI";"DATE";"7"
"PER_PALETAS";"APAL_PROPIE";"NUMBER";"22"
"PER_PALETAS";"APAL_SITLOG";"VARCHAR2";"2"
"PER_PALETAS";"APAL_LIBMAN";"VARCHAR2";"1"
"PER_PALETAS";"APAL_ANCPAL";"VARCHAR2";"2"
"PER_PALETAS";"APAL_LOTSEC";"VARCHAR2";"15"
"PER_PALETAS";"APAL_CODTRA";"VARCHAR2";"7"
"PER_PALETAS";"APAL_PEDVEN";"VARCHAR2";"8"
"PER_PALETAS";"APAL_DIVVEN";"VARCHAR2";"1"
"PER_PALETAS";"APAL_ORDFAB";"VARCHAR2";"8"
"PER_PALETAS";"APAL_LINFAB";"NUMBER";"22"
"PER_PALETAS";"APAL_ACCION";"VARCHAR2";"1"
"PER_PALETAS";"APAL_FECREG";"DATE";"7"
"PER_PALETAS";"APAL_INDERR";"VARCHAR2";"1"
"PER_PALETAS";"APAL_MSGERR";"VARCHAR2";"100"
"PER_PALETAS_AUX";"APAL_AUX_NUMREG";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_AUX_CODPST";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_CODIGO";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_ALTPAL";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_OLD_ALMACE";"VARCHAR2";"3"
"PER_PALETAS_AUX";"APAL_OLD_ARTICU";"VARCHAR2";"7"
"PER_PALETAS_AUX";"APAL_OLD_VARIA1";"VARCHAR2";"3"
"PER_PALETAS_AUX";"APAL_OLD_VARIA2";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_OLD_VARLOG";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_FECENT";"DATE";"7"
"PER_PALETAS_AUX";"APAL_OLD_FEFIFO";"DATE";"7"
"PER_PALETAS_AUX";"APAL_OLD_UNICAJ";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_CAJPAL";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_LARCAJ";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_ANCCAJ";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_ALTCAJ";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_PESCAJ";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_STOCPA";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_CONPES";"VARCHAR2";"1"
"PER_PALETAS_AUX";"APAL_OLD_INDFAL";"VARCHAR2";"1"
"PER_PALETAS_AUX";"APAL_OLD_INDDRV";"VARCHAR2";"1"
"PER_PALETAS_AUX";"APAL_OLD_PALCOM";"VARCHAR2";"1"
"PER_PALETAS_AUX";"APAL_OLD_ICOMUN";"VARCHAR2";"1"
"PER_PALETAS_AUX";"APAL_OLD_SITPAL";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_OLD_TIPPAL";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_OLD_PICKIN";"VARCHAR2";"1"
"PER_PALETAS_AUX";"APAL_OLD_IDIA00";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_CEAN13";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_CDUN14";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_LOTEFA";"VARCHAR2";"15"
"PER_PALETAS_AUX";"APAL_OLD_FECCAD";"DATE";"7"
"PER_PALETAS_AUX";"APAL_OLD_FECFAB";"DATE";"7"
"PER_PALETAS_AUX";"APAL_OLD_UNIRET";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_PESPAL";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_PEDIDO";"VARCHAR2";"8"
"PER_PALETAS_AUX";"APAL_OLD_AREENT";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_OLD_SECENT";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_OLD_PASFOR";"VARCHAR2";"3"
"PER_PALETAS_AUX";"APAL_OLD_INSTAL";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_OLD_MUELLE";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_PASILL";"VARCHAR2";"3"
"PER_PALETAS_AUX";"APAL_OLD_COLUMN";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_ALTURA";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_DISTAN";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_NUMENT";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_NUMCDP";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_SECCIO";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_OLD_ZONATR";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_OLD_SECPRO";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_OLD_AREPRO";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_OLD_FECUTI";"DATE";"7"
"PER_PALETAS_AUX";"APAL_OLD_PESNET";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_ARTEMB";"VARCHAR2";"7"
"PER_PALETAS_AUX";"APAL_OLD_VAR1EB";"VARCHAR2";"3"
"PER_PALETAS_AUX";"APAL_OLD_VAR2EB";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_OLD_VLOGEB";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_MATRIC";"VARCHAR2";"10"
"PER_PALETAS_AUX";"APAL_OLD_PROCAJ";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_PROPAL";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_PROENV";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_TERMIN";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_FECUBI";"DATE";"7"
"PER_PALETAS_AUX";"APAL_OLD_PROPIE";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_OLD_SITLOG";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_OLD_LIBMAN";"VARCHAR2";"1"
"PER_PALETAS_AUX";"APAL_OLD_ANCPAL";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_OLD_LOTSEC";"VARCHAR2";"15"
"PER_PALETAS_AUX";"APAL_OLD_CODTRA";"VARCHAR2";"7"
"PER_PALETAS_AUX";"APAL_OLD_PEDVEN";"VARCHAR2";"8"
"PER_PALETAS_AUX";"APAL_OLD_DIVVEN";"VARCHAR2";"1"
"PER_PALETAS_AUX";"APAL_OLD_ORDFAB";"VARCHAR2";"8"
"PER_PALETAS_AUX";"APAL_OLD_LINFAB";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_NEW_CODIGO";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_NEW_ALTPAL";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_NEW_ALMACE";"VARCHAR2";"3"
"PER_PALETAS_AUX";"APAL_NEW_ARTICU";"VARCHAR2";"7"
"PER_PALETAS_AUX";"APAL_NEW_VARIA1";"VARCHAR2";"3"
"PER_PALETAS_AUX";"APAL_NEW_VARIA2";"VARCHAR2";"2"
"PER_PALETAS_AUX";"APAL_NEW_VARLOG";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_NEW_FECENT";"DATE";"7"
"PER_PALETAS_AUX";"APAL_NEW_FEFIFO";"DATE";"7"
"PER_PALETAS_AUX";"APAL_NEW_UNICAJ";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_NEW_CAJPAL";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_NEW_LARCAJ";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_NEW_ANCCAJ";"NUMBER";"22"
"PER_PALETAS_AUX";"APAL_NEW_ALTCAJ";"NUMBER";"22"
